#x-axis	2
#second	Volt
+325.000E-03	-183.327E-03
+326.000E-03	-183.327E-03
+327.000E-03	-238.000E-03
+328.000E-03	-183.327E-03
+329.000E-03	-19.307E-03
+330.000E-03	+308.734E-03
+331.000E-03	+1.402201E+00
+332.000E-03	+3.640392E+00
+333.000E-03	+1.672151E+00
+334.000E-03	+469.337E-03
+335.000E-03	+35.367E-03
+336.000E-03	-128.653E-03
+337.000E-03	-183.327E-03
+338.000E-03	-183.327E-03
+339.000E-03	-132.070E-03
+340.000E-03	-77.397E-03
+341.000E-03	-128.653E-03
+342.000E-03	-238.000E-03
+343.000E-03	-183.327E-03
+344.000E-03	-128.653E-03
+345.000E-03	+35.367E-03
+346.000E-03	+472.754E-03
+347.000E-03	+1.839588E+00
+348.000E-03	+3.476372E+00
+349.000E-03	+1.234764E+00
+350.000E-03	+308.734E-03
+351.000E-03	-73.980E-03
+352.000E-03	-183.327E-03
+353.000E-03	-238.000E-03
+354.000E-03	-186.744E-03
+355.000E-03	-183.327E-03
+356.000E-03	-128.653E-03
+357.000E-03	-183.327E-03
+358.000E-03	-238.000E-03
+359.000E-03	-183.327E-03
+360.000E-03	-132.070E-03
+361.000E-03	+35.367E-03
+362.000E-03	+527.427E-03
+363.000E-03	+2.331648E+00
+364.000E-03	+3.038985E+00
+365.000E-03	+1.016070E+00
+366.000E-03	+199.387E-03
+367.000E-03	-19.307E-03
+368.000E-03	-132.070E-03
+369.000E-03	-183.327E-03
+370.000E-03	-183.327E-03
+371.000E-03	-128.653E-03
+372.000E-03	-128.653E-03
+373.000E-03	-183.327E-03
+374.000E-03	-186.744E-03
+375.000E-03	-183.327E-03
+376.000E-03	-128.653E-03
+377.000E-03	+195.970E-03
+378.000E-03	+800.794E-03
+379.000E-03	+2.933055E+00
+380.000E-03	+2.546925E+00
+381.000E-03	+742.704E-03
+382.000E-03	+144.714E-03
+383.000E-03	-73.980E-03
+384.000E-03	-183.327E-03
+385.000E-03	-238.000E-03
+386.000E-03	-183.327E-03
+387.000E-03	-128.653E-03
+388.000E-03	-128.653E-03
+389.000E-03	-183.327E-03
+390.000E-03	-238.000E-03
+391.000E-03	-183.327E-03
+392.000E-03	-19.307E-03
+393.000E-03	+199.387E-03
+394.000E-03	+1.019487E+00
+395.000E-03	+3.261095E+00
+396.000E-03	+2.000191E+00
+397.000E-03	+527.427E-03
+398.000E-03	+35.367E-03
+399.000E-03	-77.397E-03
+400.000E-03	-183.327E-03
+401.000E-03	-238.000E-03
+402.000E-03	-183.327E-03
+403.000E-03	-73.980E-03
+404.000E-03	-128.653E-03
+405.000E-03	-238.000E-03
+406.000E-03	-238.000E-03
+407.000E-03	-183.327E-03
+408.000E-03	-19.307E-03
+409.000E-03	+308.734E-03
+410.000E-03	+1.347528E+00
+411.000E-03	+3.425116E+00
+412.000E-03	+1.508131E+00
+413.000E-03	+363.407E-03
+414.000E-03	+35.367E-03
+415.000E-03	-183.327E-03
+416.000E-03	-238.000E-03
+417.000E-03	-186.744E-03
+418.000E-03	-183.327E-03
+419.000E-03	-73.980E-03
+420.000E-03	-128.653E-03
+421.000E-03	-186.744E-03
+422.000E-03	-183.327E-03
+423.000E-03	-183.327E-03
+424.000E-03	-19.307E-03
+425.000E-03	+363.407E-03
+426.000E-03	+1.675568E+00
+427.000E-03	+3.257678E+00
+428.000E-03	+1.234764E+00
+429.000E-03	+308.734E-03
+430.000E-03	+35.367E-03
+431.000E-03	-128.653E-03
+432.000E-03	-186.744E-03
+433.000E-03	-183.327E-03
+434.000E-03	-128.653E-03
+435.000E-03	-73.980E-03
+436.000E-03	-183.327E-03
+437.000E-03	-238.000E-03
+438.000E-03	-183.327E-03
+439.000E-03	-128.653E-03
+440.000E-03	+90.040E-03
+441.000E-03	+527.427E-03
+442.000E-03	+2.276975E+00
+443.000E-03	+2.874965E+00
+444.000E-03	+906.724E-03
+445.000E-03	+199.387E-03
+446.000E-03	-22.724E-03
+447.000E-03	-183.327E-03
