#x-axis,1,2
#second,Volt,Volt
-2.4170000E-03,+242.2462141E-03,-2.5653265789E+00
-2.4167500E-03,+247.7738522E-03,-2.5653265789E+00
-2.4165000E-03,+247.7738522E-03,-2.5653265789E+00
-2.4162500E-03,+247.7738522E-03,-2.5653265789E+00
-2.4160000E-03,+247.7738522E-03,-2.5653265789E+00
-2.4157500E-03,+247.7738522E-03,-2.6105527091E+00
-2.4155000E-03,+254.3065154E-03,-2.5753768301E+00
-2.4152500E-03,+248.7788773E-03,-2.5653265789E+00
-2.4150000E-03,+260.8391787E-03,-2.5653265789E+00
-2.4147500E-03,+250.7889275E-03,-2.5653265789E+00
-2.4145000E-03,+247.7738522E-03,-2.6306532114E+00
-2.4142500E-03,+254.3065154E-03,-2.5653265789E+00
-2.4140000E-03,+244.7587769E-03,-2.5653265789E+00
-2.4137500E-03,+255.8140531E-03,-2.5653265789E+00
-2.4135000E-03,+255.8140531E-03,-2.4949748209E+00
-2.4132500E-03,+255.8140531E-03,-2.6457285881E+00
-2.4130000E-03,+255.8140531E-03,-2.6155778347E+00
-2.4127500E-03,+255.8140531E-03,-2.6105527091E+00
-2.4125000E-03,+255.8140531E-03,-2.6457285881E+00
-2.4122500E-03,+248.2763648E-03,-2.5653265789E+00
-2.4120000E-03,+258.3266159E-03,-2.5904522068E+00
-2.4117500E-03,+258.8291285E-03,-2.5954773324E+00
-2.4115000E-03,+248.7788773E-03,-2.6306532114E+00
-2.4112500E-03,+248.2763648E-03,-2.6457285881E+00
-2.4110000E-03,+255.8140531E-03,-2.6155778347E+00
-2.4107500E-03,+255.8140531E-03,-2.5653265789E+00
-2.4105000E-03,+255.8140531E-03,-2.5653265789E+00
-2.4102500E-03,+255.8140531E-03,-2.5653265789E+00
-2.4100000E-03,+255.8140531E-03,-2.5904522068E+00
-2.4097500E-03,+255.8140531E-03,-2.5954773324E+00
-2.4095000E-03,+255.8140531E-03,-2.6306532114E+00
-2.4092500E-03,+255.8140531E-03,-2.5703517045E+00
-2.4090000E-03,+255.8140531E-03,-2.6155778347E+00
-2.4087500E-03,+255.8140531E-03,-2.6105527091E+00
-2.4085000E-03,+248.7788773E-03,-2.6457285881E+00
-2.4082500E-03,+262.8492289E-03,-2.6457285881E+00
-2.4080000E-03,+255.8140531E-03,-2.6457285881E+00
-2.4077500E-03,+255.8140531E-03,-2.5954773324E+00
-2.4075000E-03,+255.8140531E-03,-2.5653265789E+00
-2.4072500E-03,+255.8140531E-03,-2.6457285881E+00
-2.4070000E-03,+255.8140531E-03,-2.6155778347E+00
-2.4067500E-03,+255.8140531E-03,-2.5653265789E+00
-2.4065000E-03,+255.8140531E-03,-2.6306532114E+00
-2.4062500E-03,+255.8140531E-03,-2.6457285881E+00
-2.4060000E-03,+255.8140531E-03,-2.6457285881E+00
-2.4057500E-03,+255.8140531E-03,-2.5954773324E+00
